City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,acapulco de juarez,16.8634,-99.8901,32.9,58,0,5.66,MX,1686264149
214,vila franca do campo,37.7167,-25.4333,17.23,83,100,3.03,PT,1686264219
215,las lomitas,-24.7096,-60.593,22.44,65,0,3.15,AR,1686264219
216,margate,51.3813,1.3862,13.28,88,0,4.92,GB,1686264219
217,porto velho,-8.7619,-63.9039,26.03,89,40,1.03,BR,1686263941
218,adrar,20.5022,-10.0711,32.1,24,16,5.63,MR,1686264219
219,inari,68.906,27.0288,4.11,78,91,2.52,FI,1686263996
220,sao vicente,-23.9631,-46.3919,24.04,26,0,1.43,BR,1686263938
221,tayshet,55.9342,98.0044,18.9,69,58,1.27,RU,1686264219
222,boyolangu,-8.1181,111.8935,23.52,94,60,1.68,ID,1686264219
223,hilo,19.7297,-155.09,29.6,69,100,3.6,US,1686264108
224,mejit,10.2753,170.8646,27.88,83,68,8.7,MH,1686264220
225,thompson,55.7435,-97.8558,25.09,33,75,5.66,CA,1686264220
226,waiuku,-37.25,174.75,16.22,74,5,3.16,NZ,1686264019
227,djougou,9.7085,1.666,22.75,91,100,3.92,BJ,1686264220
228,ad-damazin,11.7891,34.3592,28.3,59,70,3.98,SD,1686264220
229,marquette,46.5333,-87.6335,20.99,46,0,2.24,US,1686264220
230,rongelap,11.1635,166.8941,27.89,81,76,7.84,MH,1686264220
231,chonchi,-42.6128,-73.8092,5.56,76,63,3.2,CL,1686264220
232,tommot,58.9564,126.2925,12.35,92,99,2.14,RU,1686264221
233,ta`u,-14.2336,-169.5144,27.3,82,100,5.54,AS,1686264221
234,san antonio de pale,-1.4014,5.6325,24.95,78,88,4.59,GQ,1686264221
235,orange,33.7,-117.7675,27.14,59,40,3.09,US,1686264001
236,boende,-0.2167,20.8667,21.83,99,99,0.42,CD,1686264221
237,margaret river,-33.95,115.0667,12.24,73,1,2.18,AU,1686264221
238,lata,40.1629,-8.3327,18.37,95,46,2.87,PT,1686264221
239,mount gambier,-37.8333,140.7667,10.34,63,94,5.83,AU,1686264221
240,kavieng,-2.5744,150.7967,27.49,77,84,1.25,PG,1686264221
241,quellon,-43.1167,-73.6167,4.14,93,75,4.63,CL,1686264222
242,wenling,28.3669,121.36,23.2,92,99,0.91,CN,1686264222
243,buka,40.8108,69.1986,24.8,21,0,2.59,UZ,1686264222
244,frinton-on-sea,51.8388,1.2463,12.63,88,0,3.58,GB,1686264222
245,houlton,46.1262,-67.8403,14.23,72,100,3.09,US,1686264222
246,katabu,-4.9333,122.5167,24.58,90,90,0.6,ID,1686264222
247,la sarre,48.8002,-79.1996,17.02,61,100,1.13,CA,1686263955
248,marsh harbour,26.5412,-77.0636,28.24,70,84,5.48,BS,1686264222
249,susuman,62.7833,148.1667,14.71,47,42,4.36,RU,1686264222
250,vorkuta,67.5,64.0,2.63,65,31,0.98,RU,1686264223
251,floro,61.5996,5.0328,15.04,82,1,0.0,NO,1686264223
252,jamestown,42.097,-79.2353,15.77,63,100,3.6,US,1686264223
253,mitu,1.1983,-70.1733,23.31,97,58,0.87,CO,1686264223
